communityID,urban_score_econ
0101041,3.5
0101042,5.5
0101043,3.5
0102061,3.5
0102062,3.5
0102063,3.5
0102331,4.5
0102332,4
0102333,4.5
0104461,8.5
0104462,6
0104463,4
0104511,4.5
0104512,3.5
0104513,3
0140311,5.5
0140312,5
0140313,6
0140511,3.5
0140512,4.5
0140513,4.5
0146431,3
0146432,3
0146433,0
0182061,4
0182062,4
0182063,3.5
0304761,6
0304762,6
0304763,4.5
0311061,5
0311062,4.5
0311063,6
0340431,5
0340432,5.5
0340433,3.5
0346761,5
0346762,5
0346763,4
0467461,3.5
0467462,4
0467463,3.5
0516061,3.5
0516062,4
0516063,4
0540541,4.5
0540542,5
0540543,4.5
0542491,8
0542492,7.5
0542493,5
0560431,3.5
0560432,3.5
0560433,4
0560591,5.5
0560592,4
0560593,4
0563021,5
0563022,5
0563023,5.5
0563461,4.5
0563462,8.5
0563463,6
0566041,4
0566042,3.5
0566043,4.5
0574571,3
0574572,3.5
0574573,2.5
0576331,3
0576332,4.5
0576333,4.5
0582021,6
0582022,3.5
0582023,3.5
0586591,4.5
0586592,5.5
0586593,4.5
0604401,3.5
0604402,3
0604403,3.5
0604811,4.5
0604812,4
0604813,3.5
0640281,6.5
0640282,6.5
0640283,6
0640331,4
0640332,4
0640333,4
0646041,6
0646042,5.5
0646043,5.5
0655461,5
0655462,4
0655463,5
0724281,4.5
0724282,5.5
0724283,4.5
0740021,5.5
0740022,3.5
0740023,4
0740041,5.5
0740042,5.5
0740043,7.5
0740571,6.5
0740572,3
0740573,5.5
0746311,3.5
0746312,4.5
0746313,4
0749811,4
0749812,5
0749813,4
0753761,5
0753762,5.5
0753763,6
0755041,5
0755042,5.5
0755043,5.5
0782331,3.5
0782332,4
0782333,5.5
0896761,2.5
0896762,4.5
0896763,5.5
0940041,7
0940042,8.5
0940043,9.5
1017911,5
1017912,5
1017913,5
1040041,6.5
1040042,7.5
1040043,6.5
1051021,4.5
1051022,5.5
1051023,5.5
1053811,6
1053812,3.5
1053813,4.5
1082061,4
1082062,4.5
1082063,4
1082591,3.5
1082592,4.5
1082593,5
1101311,4.5
1101312,4.5
1101313,5.5
1111541,5.5
1111542,3.5
1111543,5.5
1127441,6
1127442,4
1127443,4
1146041,6
1146042,5
1146043,4.5
1160061,4
1160062,4
1160063,3.5
1174891,6.5
1174892,5
1174893,5
1182761,5
1182762,3.5
1182763,3.5
1224901,4.5
1224902,4
1224903,4.5
1240991,4
1240992,4.5
1240993,4.5
1340041,6.5
1340042,7
1340043,6
1349021,3.5
1349022,4
1349023,3.5
1355591,3
1355592,3.5
1355593,4
1382021,4
1382022,4
1382023,5
1411541,4
1411542,5.5
1411543,4
1424031,4.5
1424032,5
1424033,4
1440161,6
1440162,6.5
1440163,6
1455281,7
1455282,7
1455283,6
1504781,5
1504782,5.5
1504783,5
1511561,5.5
1511562,6
1511563,6.5
1538591,5
1538592,5.5
1538593,6
1540441,4.5
1540442,4.5
1540443,5.5
1540581,5.5
1540582,5.1
1540583,5.5
1546281,3.5
1546282,4
1546283,3.5
1546311,4.5
1546312,4
1546313,5
1546761,5
1546762,3.5
1546763,4.5
1556761,3.5
1556762,5.5
1556763,5
1582311,5.5
1582312,5.5
1582313,5.5
1582781,4.5
1582782,3.5
1582783,4.5
1601041,6
1601042,6
1601043,5
1611591,3.5
1611592,4
1611593,5
1624311,7.5
1624312,4
1624313,5.5
1660061,4
1660062,4.5
1660063,3
1682311,4
1682312,3.5
1682313,5.5
1711591,3.5
1711592,4.5
1711593,4.5
1746431,4.5
1746432,4
1746433,6
1755311,6
1755312,3
1755313,3
1774021,4.5
1774022,3.5
1774023,3.5
1840371,6.5
1840372,6.5
1840373,9
1940371,5
1940372,7.5
1940373,5.5
2001041,9
2001042,6
2001043,4.5
2024541,6
2024542,6
2024543,5
2040281,8
2040282,9.5
2040283,6
2049061,5
2049062,3.5
2049063,5.5
2053041,6.5
2053042,6
2053043,6
2074061,4.5
2074062,5
2074063,7
2074281,6
2074282,6
2074283,5
2111541,5.5
2111542,4.5
2111543,4
2111761,4
2111762,4
2111763,4
2124281,4
2124282,6
2124283,5
2411161,6
2411162,5.5
2411163,5.5
2427021,4
2427022,6.5
2427023,5.5
2440561,5
2440562,5
2440563,5.5
2446041,5
2446042,5
2446043,4
2446761,4
2446762,4
2446763,4
2616761,3.5
2616762,4
2616763,2.5
2627281,3.5
2627282,3.5
2627283,4
2653591,4.5
2653592,4.5
2653593,3.5
2655761,5
2655762,5
2655763,5
2660591,4
2660592,4
2660593,3.5
2663061,6
2663062,3.5
2663063,4.5
2686061,4
2686062,5.5
2686063,4
2704021,3
2704022,4.5
2704023,3.5
2718061,4
2718062,5
2718063,4
2749511,4
2749512,5.5
2749513,4.5
2755591,4
2755592,5.5
2755593,4.5
2801541,4
2801542,8.5
2801543,3.5
2811041,6.5
2811042,5.5
2811043,6.5
2811161,4
2811162,5.5
2811163,5
2855021,5.5
2855022,4.5
2855023,6.5
2882511,6
2882512,5
2882513,3
2916761,3.5
2916762,3.5
2916763,4
2924581,6
2924582,5
2924583,8
2940281,6.5
2940282,8
2940283,7
2940991,3.5
2940992,4
2940993,4
2953311,2
2953312,2.5
2953313,6
2960061,5
2960062,4
2960063,3
2960811,3.5
2960812,3
2960813,3.5
2963311,3.5
2963312,3
2963313,3.5
2974391,6.5
2974392,3.5
2974393,5
2982451,4
2982452,5
2982453,4
2986311,4
2986312,4
2986313,4.5
3201461,2.5
3201462,3.5
3201463,3.5
3211161,5
3211162,5.5
3211163,5.5
3211311,5.5
3211312,4
3211313,3.5
3216591,3.5
3216592,5
3216593,3.5
3240451,4
3240452,3.5
3240453,4.5
3240781,8.5
3240782,7
3240783,7
3246811,3.5
3246812,4
3246813,4.5
3253061,3.5
3253062,4
3253063,4
3255541,3
3255542,4
3255543,4
3263461,5
3263462,4.5
3263463,3.5
3263591,4
3263592,6
3263593,4.5
3301021,6.5
3301022,3.5
3301023,3.5
3301311,3.5
3301312,3.5
3301313,3.5
3304041,5.5
3304042,5
3304043,5
3340021,5
3340022,8
3340023,4
3346311,4.5
3346312,4
3346313,4.5
3360591,4.5
3360592,5
3360593,5
3382311,6
3382312,7.5
3382313,4
3452331,3
3452332,3
3452333,4.5
3477631,4
3477632,3.5
3477633,6
